2024-04-14 19:03:23,155 INFO    MainThread:7715 [wandb_setup.py:_flush():76] Current SDK version is 0.16.6
2024-04-14 19:03:23,156 INFO    MainThread:7715 [wandb_setup.py:_flush():76] Configure stats pid to 7715
2024-04-14 19:03:23,156 INFO    MainThread:7715 [wandb_setup.py:_flush():76] Loading settings from /Users/manqingliu/.config/wandb/settings
2024-04-14 19:03:23,156 INFO    MainThread:7715 [wandb_setup.py:_flush():76] Loading settings from /Users/manqingliu/Dropbox/Harvard/Research/DAGawareTransformer_NeurIPS/wandb/settings
2024-04-14 19:03:23,156 INFO    MainThread:7715 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-04-14 19:03:23,156 INFO    MainThread:7715 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-04-14 19:03:23,156 WARNING MainThread:7715 [wandb_setup.py:_flush():76] Could not find program at <input>
2024-04-14 19:03:23,156 INFO    MainThread:7715 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': None, 'program': '<input>'}
2024-04-14 19:03:23,156 INFO    MainThread:7715 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-04-14 19:03:23,156 INFO    MainThread:7715 [wandb_init.py:_log_setup():521] Logging user logs to /Users/manqingliu/Dropbox/Harvard/Research/DAGawareTransformer_NeurIPS/wandb/run-20240414_190323-hxb8oviq/logs/debug.log
2024-04-14 19:03:23,156 INFO    MainThread:7715 [wandb_init.py:_log_setup():522] Logging internal logs to /Users/manqingliu/Dropbox/Harvard/Research/DAGawareTransformer_NeurIPS/wandb/run-20240414_190323-hxb8oviq/logs/debug-internal.log
2024-04-14 19:03:23,156 INFO    MainThread:7715 [wandb_init.py:init():561] calling init triggers
2024-04-14 19:03:23,156 INFO    MainThread:7715 [wandb_init.py:init():568] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.001, 'architecture': 'Transformer', 'dataset': 'twins data (sample 1)', 'masking': 'without masking', 'weight decay': '0', 'dropout rate': '0.05', 'batch size': '128', 'embedding dimension': '512', 'nhead': '16', 'loader': '<torch.utils.data.dataloader.DataLoader object at 0x7fcf9900f190>', 'epochs': 5}
2024-04-14 19:03:23,156 INFO    MainThread:7715 [wandb_init.py:init():611] starting backend
2024-04-14 19:03:23,156 INFO    MainThread:7715 [wandb_init.py:init():615] setting up manager
2024-04-14 19:03:23,159 INFO    MainThread:7715 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-04-14 19:03:23,160 INFO    MainThread:7715 [wandb_init.py:init():623] backend started and connected
2024-04-14 19:03:23,169 INFO    MainThread:7715 [wandb_init.py:init():715] updated telemetry
2024-04-14 19:03:23,207 INFO    MainThread:7715 [wandb_init.py:init():748] communicating run to backend with 90.0 second timeout
2024-04-14 19:03:23,549 INFO    MainThread:7715 [wandb_run.py:_on_init():2357] communicating current version
2024-04-14 19:03:23,714 INFO    MainThread:7715 [wandb_run.py:_on_init():2366] got version response 
2024-04-14 19:03:23,715 INFO    MainThread:7715 [wandb_init.py:init():799] starting run threads in backend
2024-04-14 19:03:27,774 INFO    MainThread:7715 [wandb_run.py:_console_start():2335] atexit reg
2024-04-14 19:03:27,774 INFO    MainThread:7715 [wandb_run.py:_redirect():2190] redirect: wrap_raw
2024-04-14 19:03:27,774 INFO    MainThread:7715 [wandb_run.py:_redirect():2255] Wrapping output streams.
2024-04-14 19:03:27,774 INFO    MainThread:7715 [wandb_run.py:_redirect():2280] Redirects installed.
2024-04-14 19:03:27,775 INFO    MainThread:7715 [wandb_init.py:init():842] run started, returning control to user process
